mtime,BQ,BY,EL,ER,FG,FU,KR,LO,LR,O
2021-11-01T00:00,17117,25537,26828,24656,18579,22589,22592,27711,25970,22889
2021-11-01T00:05,21358,26488,26314,26496,25268,27512,17230,21637,24780,21296
2021-11-01T00:10,22170,28804,24888,29690,21824,21221,16655,26885,32104,17997
2021-11-01T00:15,15677,24208,28187,26949,25298,26555,18107,21544,19222,20948
2021-11-01T00:20,21543,24239,20334,27842,17209,17814,19385,22114,29460,25261
2021-11-01T00:25,17976,19919,27312,29210,22145,29644,17717,23411,26060,28045
2021-11-01T00:30,19461,22588,28709,24561,22776,23828,19523,15417,29458,26491
2021-11-01T00:35,18597,21942,26247,28409,20471,21783,24794,17290,26067,24671
2021-11-01T00:40,20744,24715,29280,21072,24877,23088,20691,28067,0,25063
2021-11-01T00:45,28404,28166,22910,21414,0,17780,23983,25354,33497,23453
2021-11-01T00:50,20449,28996,25691,26166,24554,23350,20241,20245,28764,21541
2021-11-01T00:55,23565,19823,27227,20413,22310,23561,20644,26560,25871,21412
2021-11-01T01:00,22367,27028,29660,26178,19668,22884,12951,21092,24418,23586
2021-11-01T01:05,20010,22195,20062,28505,25808,19793,20841,24055,24616,24406
2021-11-01T01:10,24692,24749,27621,21148,23796,27787,25333,29239,28773,16051
2021-11-01T01:15,22133,23636,29587,32797,20390,22452,23313,24321,28648,20172
2021-11-01T01:20,22103,23943,29972,0,15874,19749,22376,21980,26477,23017
2021-11-01T01:25,22803,19066,37081,25916,24980,18597,18557,20515,31440,18048
2021-11-01T01:30,21726,26101,25659,24741,23269,18890,26808,23954,29912,22022
2021-11-01T01:35,27133,33558,28875,23613,22965,24732,21404,28269,23477,30060
2021-11-01T01:40,24968,23027,25901,25114,21197,25606,21783,21447,26793,18468
2021-11-01T01:45,18649,25092,29304,20723,18960,26725,17594,19512,20466,31323
2021-11-01T01:50,22292,22699,26154,27099,27615,22176,21502,25053,31593,28112
2021-11-01T01:55,20745,24006,31367,24587,23732,22902,19238,21648,28281,22486
2021-11-01T02:00,16795,25099,23515,32100,22543,22374,21565,25315,28412,21100
2021-11-01T02:05,24333,21959,20925,23934,25135,27663,24408,27537,25656,25448
2021-11-01T02:10,24494,21592,30072,22763,24340,25284,24974,25390,24050,24155
2021-11-01T02:15,0,23922,26068,22362,26667,19889,26892,23018,28085,18660
2021-11-01T02:20,18221,21092,25684,28010,22788,17156,26610,0,28819,23250
2021-11-01T02:25,19733,25002,23784,28165,21856,30098,24291,26063,24960,21564
2021-11-01T02:30,15930,21803,29902,28506,18557,17351,22619,20741,24748,25849
2021-11-01T02:35,17663,26313,27127,26914,20078,27455,18874,23851,23771,20793
2021-11-01T02:40,21750,23642,30334,23910,20729,24322,18446,22470,20602,22916
2021-11-01T02:45,17089,27011,29717,23678,23822,22199,22232,22480,27564,19411
2021-11-01T02:50,18931,19886,26523,17055,24014,24952,16454,21143,24568,20158
2021-11-01T02:55,21672,25121,25310,26052,23433,28932,20840,23212,28005,24351
2021-11-01T03:00,21644,19573,25829,28404,19903,25192,24349,28409,24331,23261
2021-11-01T03:05,17979,28246,30020,31352,20336,23254,21175,25205,23936,19947
2021-11-01T03:10,20761,20168,25552,25957,23852,23524,16357,24367,27491,18779
2021-11-01T03:15,20165,18498,25627,21246,21910,23052,16718,23744,25048,15527
2021-11-01T03:20,19016,24566,24959,25969,18996,22247,17761,22408,27018,23925
2021-11-01T03:25,21321,25579,27695,19412,24784,19322,19774,21062,28023,17373
2021-11-01T03:30,19486,24214,32737,25532,21224,19009,15589,21475,0,21280
2021-11-01T03:35,19736,20609,29009,25209,19788,22322,18883,23411,23880,23932
2021-11-01T03:40,23813,23507,31137,26192,27115,23534,23876,25086,23283,27386
2021-11-01T03:45,18677,24801,24925,31365,29324,23468,16118,17961,23747,26561
2021-11-01T03:50,18599,20573,27472,28490,20104,22454,20247,22322,31252,27073
2021-11-01T03:55,19902,27855,22067,25594,22197,22912,18962,25350,19682,16395
2021-11-01T04:00,20902,29122,28140,27764,22352,19493,21196,25965,26150,24486
2021-11-01T04:05,25665,29825,30712,27270,23086,0,16419,24862,23097,20007
2021-11-01T04:10,20903,24016,27026,27236,27324,19510,20182,24086,24545,27947
2021-11-01T04:15,20278,25410,26280,28533,24538,23623,21137,21545,32670,18775
2021-11-01T04:20,23621,19911,26855,30283,26905,22188,22197,25410,16835,18328
2021-11-01T04:25,27396,24776,28150,22049,22136,16288,19248,27773,36737,29797
2021-11-01T04:30,18675,25561,22084,25557,23590,20126,23934,22936,25483,20059
2021-11-01T04:35,18896,24159,26724,26033,25398,20374,25408,22139,30033,24720
2021-11-01T04:40,26037,22918,20421,26149,10722,24630,21490,28798,28620,15817
2021-11-01T04:45,25881,0,29065,23818,14781,22280,19090,23227,29896,22274
2021-11-01T04:50,18251,26784,31568,29004,19953,30344,24547,21447,28429,29013
2021-11-01T04:55,22078,22763,26861,24992,19999,22036,24702,21317,28027,20858
2021-11-01T05:00,24637,25021,26549,19624,21935,18541,20745,23213,27218,21492
2021-11-01T05:05,21177,23862,27748,23643,21040,19171,16903,24083,25521,25109
2021-11-01T05:10,22674,26704,21861,0,20534,24573,22958,20222,25113,24493
2021-11-01T05:15,21443,30988,24385,24368,22176,24420,21735,24257,20020,28484
2021-11-01T05:20,21836,20152,29951,27913,25095,18034,25340,29614,31305,26853
