site_name,bandwidth
78,12637
A1,14607
A6,18007
AC,15994
AM,19387
AP,12670
Aa,15877
BM,19210
BX,23470
Bi,19634
Bp,11784
Bs,19797
Bu,13277
Bv,18237
CD,9030
CQ,12724
CU,14627
DX,4900
DY,9407
DZ,17157
Dt,17650
E9,17064
EJ,13924
EU,17114
EV,19847
En,22367
FN,25067
Fc,9630
GL,15334
Gy,14964
IQ,15330
IT,12877
K1,12224
K5,9000
K6,14920
Ke,26707
Mh,16074
Mw,20837
N1,4920
N4,17657
N8,16984
NV,25404
Ng,25050
Ni,12554
O1,8710
Oa,9350
Oj,23390
Ov,11684
Pr,9264
Q6,14934
Qf,19797
Qy,27837
Rl,15567
Sd,18157
Sg,12900
Sm,12617
T2,12147
Ua,16174
Ud,20900
Us,23420
Vb,14357
W2,18304
W5,4874
Xl,15860
Xq,12494
Y9,11770
Yk,9367
Z2,14944
Zg,21060
Zm,12817
b6,14610
by,8717
d7,19587
dm,16997
e1,17040
ey,15270
f4,25124
fj,19014
g8,20120
gm,21040
gt,22644
il,14134
k4,18397
lo,27917
lr,9324
lt,13170
or,20007
ot,23014
ps,12987
pu,8897
q1,17977
qt,19760
qz,9310
s6,15050
v6,16000
w3,9594
x8,9334
x9,15227
xz,8670
y3,4930
