site_name,AG,AM,AQ,BZ,CU,ER,EZ,FY,GT,HM,IY,KZ,LT,NP,NY,OT,PV,RS,RU,VX
25,226,358,263,328,241,136,353,200,287,270,145,267,315,337,184,321,357,276,231,306
45,205,380,220,247,283,213,169,177,206,228,224,276,217,235,220,220,344,233,272,284
48,289,391,244,302,344,234,241,171,224,301,288,242,194,261,325,141,275,271,262,195
A5,348,372,252,200,152,292,259,239,281,289,228,275,237,186,184,307,257,275,344,305
AL,230,250,171,276,246,289,309,178,273,229,269,202,316,120,161,308,285,287,230,277
Al,257,335,221,219,307,273,305,275,368,235,272,331,270,255,322,301,274,257,357,239
B2,218,280,283,242,341,200,205,268,301,231,225,285,259,328,326,269,207,273,211,182
B7,285,314,228,230,293,265,222,202,250,235,373,242,227,357,245,278,222,316,215,282
BJ,318,214,289,246,182,254,255,203,203,252,279,253,240,199,198,227,245,234,260,287
BP,309,297,191,351,274,266,253,211,268,196,277,219,274,305,214,333,228,253,267,299
BU,265,318,302,280,243,306,180,232,133,260,238,208,209,200,221,287,223,293,255,264
Be,329,272,208,281,227,311,306,286,269,279,225,289,260,201,255,123,197,252,208,329
C2,189,345,347,285,284,265,249,249,347,198,218,272,307,295,275,227,284,272,230,211
CU,257,195,264,206,328,255,332,232,254,296,312,160,318,256,192,399,224,292,206,289
Cd,262,234,260,271,230,227,231,227,239,246,359,326,334,220,296,327,304,174,335,318
Cl,242,262,308,379,227,317,253,255,238,269,202,213,211,351,244,264,253,230,310,152
Cq,319,202,285,268,356,205,205,312,159,188,225,288,253,240,246,286,249,216,320,248
Do,166,228,251,283,235,291,275,241,238,296,206,210,293,276,219,275,234,330,194,212
E1,217,264,345,160,251,275,299,360,298,178,281,256,295,206,299,216,268,196,262,267
EO,196,185,233,297,274,265,217,274,313,235,253,257,188,336,209,182,340,168,238,257
ET,222,139,202,202,192,352,218,278,186,305,265,97,287,228,333,164,209,303,275,333
F6,260,195,252,217,224,341,274,285,243,260,228,251,251,332,260,271,268,174,248,300
F9,249,296,263,184,298,272,224,243,244,162,264,253,274,266,258,254,253,303,275,256
FV,252,298,323,244,245,226,328,318,313,285,234,297,222,273,232,324,257,260,354,112
Fk,316,171,286,338,261,311,215,202,219,219,287,267,288,215,276,209,275,234,219,282
G3,318,215,249,230,345,216,288,129,301,306,212,287,318,263,198,305,260,242,218,178
Gm,276,248,299,249,299,249,310,256,268,292,246,305,260,243,270,229,310,191,244,303
H2,298,236,288,321,237,272,256,303,228,109,197,233,222,288,280,322,284,251,257,289
H6,345,198,192,168,300,273,255,309,206,206,294,389,253,163,216,249,292,269,271,201
